game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,replay,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401892436,2026-10-03,Utah Mammoth,Columbus Blue Jackets,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9497,,Columbus Blue Jackets,,,,0,
401892437,2026-10-03,Seattle Kraken,Edmonton Oilers,2026-09-23T00:47:16Z,3,1,0,,0.5858,0.5488,,0.6014,,Edmonton Oilers,,,,0,
401892438,2026-10-03,Dallas Stars,Nashville Predators,2026-09-23T00:47:16Z,3,1,0,,0.2197,0.5488,,0.1307,,Dallas Stars,,,,0,
401892439,2026-10-03,St. Louis Blues,Colorado Avalanche,2026-09-23T00:47:16Z,3,1,0,,0.753,0.5488,,0.8188,,Colorado Avalanche,,,,0,
401892440,2026-10-03,Calgary Flames,Vancouver Canucks,2026-09-23T00:47:16Z,3,1,0,,0.5667,0.5488,,0.5744,,Vancouver Canucks,,,,0,
401892441,2026-10-03,Los Angeles Kings,San Jose Sharks,2026-09-23T00:47:16Z,3,1,0,,0.5476,0.5488,,0.5471,,San Jose Sharks,,,,0,
401891778,2026-10-04,Florida Panthers,Anaheim Ducks,2026-09-23T00:47:16Z,3,1,0,,0.6045,0.5488,,0.6277,,Anaheim Ducks,,,,0,
401891824,2026-10-04,Calgary Flames,Seattle Kraken,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9497,,Seattle Kraken,,,,0,
401892442,2026-10-04,Winnipeg Jets,Detroit Red Wings,2026-09-23T00:47:16Z,3,1,0,,0.5476,0.5488,,0.5471,,Detroit Red Wings,,,,0,
401892443,2026-10-04,Utah Mammoth,New York Rangers,2026-09-23T00:47:16Z,3,1,0,,0.6411,0.5488,,0.678,,New York Rangers,,,,0,
401892444,2026-10-04,Vegas Golden Knights,Vancouver Canucks,2026-09-23T00:47:16Z,3,1,0,,0.18,0.5488,,0.088,,Vegas Golden Knights,,,,0,
401892445,2026-10-05,Philadelphia Flyers,Tampa Bay Lightning,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9442,,Tampa Bay Lightning,,,,0,
401892446,2026-10-05,Ottawa Senators,Boston Bruins,2026-09-23T00:47:16Z,3,1,0,,0.7671,0.5488,,0.8347,,Boston Bruins,,,,0,
401892447,2026-10-05,Winnipeg Jets,Pittsburgh Penguins,2026-09-23T00:47:16Z,3,1,0,,0.8062,0.5488,,0.8757,,Pittsburgh Penguins,,,,0,
401892448,2026-10-05,San Jose Sharks,Dallas Stars,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9442,,Dallas Stars,,,,0,
401891779,2026-10-06,St. Louis Blues,Chicago Blackhawks,2026-09-23T00:47:16Z,3,1,0,,0.793,0.5488,,0.8623,,Chicago Blackhawks,,,,0,
401891806,2026-10-06,Florida Panthers,Los Angeles Kings,2026-09-23T00:47:16Z,3,1,0,,0.1823,0.5488,,0.0973,,Florida Panthers,,,,0,
401891815,2026-10-06,Carolina Hurricanes,Montreal Canadiens,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9401,,Montreal Canadiens,,,,0,
401892449,2026-10-06,Nashville Predators,Toronto Maple Leafs,2026-09-23T00:47:16Z,3,1,0,,0.6033,0.5488,,0.626,,Toronto Maple Leafs,,,,0,
401892450,2026-10-06,Ottawa Senators,Detroit Red Wings,2026-09-23T00:47:16Z,3,1,0,,0.5667,0.5488,,0.5744,,Detroit Red Wings,,,,0,
401892451,2026-10-06,Utah Mammoth,New Jersey Devils,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9497,,New Jersey Devils,,,,0,
401892452,2026-10-06,New York Islanders,New York Rangers,2026-09-23T00:47:16Z,3,1,0,,0.5667,0.5488,,0.5744,,New York Rangers,,,,0,
401892453,2026-10-06,Minnesota Wild,Buffalo Sabres,2026-09-23T00:47:16Z,3,1,0,,0.2466,0.5488,,0.1572,,Minnesota Wild,,,,0,
401892454,2026-10-06,Vegas Golden Knights,Seattle Kraken,2026-09-23T00:47:16Z,3,1,0,,0.5667,0.5488,,0.5744,,Seattle Kraken,,,,0,
401891830,2026-10-07,Pittsburgh Penguins,Washington Capitals,2026-09-23T00:47:16Z,3,1,0,,0.4137,0.5488,,0.3585,,Pittsburgh Penguins,,,,0,
401892455,2026-10-07,Colorado Avalanche,Winnipeg Jets,2026-09-23T00:47:16Z,3,1,0,,0.5282,0.5488,,0.5194,,Winnipeg Jets,,,,0,
401892456,2026-10-07,Edmonton Oilers,Anaheim Ducks,2026-09-23T00:47:16Z,3,1,0,,0.5667,0.5488,,0.5744,,Anaheim Ducks,,,,0,
