game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401872964,2026-10-01,Pittsburgh Steelers,Cleveland Browns,2026-09-16T00:33:25Z,3,1,0,0.3247,0.5047,,0.2575,,Pittsburgh Steelers,,,,0,
401872965,2026-10-04,Indianapolis Colts,Washington Commanders,2026-09-16T00:33:25Z,3,1,0,0.4832,0.6035,,0.4307,,Indianapolis Colts,,,,0,
401872966,2026-10-04,Arizona Cardinals,New York Giants,2026-09-16T00:33:25Z,3,1,0,0.4881,0.5527,,0.46,,Arizona Cardinals,,,,0,
401872967,2026-10-04,Dallas Cowboys,Houston Texans,2026-09-16T00:33:25Z,3,1,0,0.4848,0.5654,,0.4497,,Dallas Cowboys,,,,0,
401872968,2026-10-04,Green Bay Packers,Tampa Bay Buccaneers,2026-09-16T00:33:25Z,3,1,0,0.481,0.5799,,0.438,,Green Bay Packers,,,,0,
401872969,2026-10-04,Jacksonville Jaguars,Cincinnati Bengals,2026-09-16T00:33:25Z,3,1,0,0.5027,0.5534,,0.4806,,Cincinnati Bengals,,,,0,
401872970,2026-10-04,Los Angeles Rams,Philadelphia Eagles,2026-09-16T00:33:25Z,3,1,0,0.6637,0.6303,,0.6778,,Philadelphia Eagles,,,,0,
401872971,2026-10-04,New England Patriots,Buffalo Bills,2026-09-16T00:33:25Z,3,1,0,0.6718,0.6139,,0.6956,,Buffalo Bills,,,,0,
401872972,2026-10-04,New York Jets,Chicago Bears,2026-09-16T00:33:25Z,3,1,0,0.4821,0.5768,,0.4409,,New York Jets,,,,0,
401872973,2026-10-04,Tennessee Titans,Baltimore Ravens,2026-09-16T00:33:25Z,3,1,0,0.6634,0.657,,0.6661,,Baltimore Ravens,,,,0,
401872974,2026-10-04,Miami Dolphins,Minnesota Vikings,2026-09-16T00:33:25Z,3,1,0,0.6564,0.6338,,0.6661,,Minnesota Vikings,,,,0,
401872975,2026-10-04,Denver Broncos,San Francisco 49ers,2026-09-16T00:33:25Z,3,1,0,0.6527,0.6526,,0.6528,,San Francisco 49ers,,,,0,
401872976,2026-10-04,Kansas City Chiefs,Las Vegas Raiders,2026-09-16T00:33:25Z,3,1,0,0.4947,0.5641,,0.4644,,Kansas City Chiefs,,,,0,
401872977,2026-10-04,Los Angeles Chargers,Seattle Seahawks,2026-09-16T00:33:25Z,3,1,0,0.6689,0.6261,,0.6868,,Seattle Seahawks,,,,0,
401872978,2026-10-04,Detroit Lions,Carolina Panthers,2026-09-16T00:33:25Z,3,1,0,0.3185,0.5082,,0.2486,,Detroit Lions,,,,0,
401872979,2026-10-05,Atlanta Falcons,New Orleans Saints,2026-09-16T00:33:25Z,3,1,0,0.4878,0.5851,,0.4453,,Atlanta Falcons,,,,0,
401872980,2026-10-08,Tampa Bay Buccaneers,Dallas Cowboys,2026-09-16T00:33:25Z,3,1,0,0.49,0.5656,,0.457,,Tampa Bay Buccaneers,,,,0,
401872981,2026-10-11,Philadelphia Eagles,Jacksonville Jaguars,2026-09-16T00:33:25Z,3,1,0,0.474,0.5937,,0.422,,Philadelphia Eagles,,,,0,
401872982,2026-10-11,Cincinnati Bengals,Miami Dolphins,2026-09-16T00:33:25Z,3,1,0,0.3169,0.5125,,0.2453,,Cincinnati Bengals,,,,0,
401872983,2026-10-11,Cleveland Browns,New York Jets,2026-09-16T00:33:25Z,3,1,0,0.655,0.6478,,0.6581,,New York Jets,,,,0,
401872984,2026-10-11,Houston Texans,Tennessee Titans,2026-09-16T00:33:25Z,3,1,0,0.4928,0.5547,,0.4658,,Houston Texans,,,,0,
401872985,2026-10-11,Indianapolis Colts,Pittsburgh Steelers,2026-09-16T00:33:25Z,3,1,0,0.6637,0.6398,,0.6739,,Pittsburgh Steelers,,,,0,
401872986,2026-10-11,Las Vegas Raiders,New England Patriots,2026-09-16T00:33:25Z,3,1,0,0.316,0.5193,,0.242,,Las Vegas Raiders,,,,0,
401872987,2026-10-11,Minnesota Vikings,New Orleans Saints,2026-09-16T00:33:25Z,3,1,0,0.3185,0.5255,,0.2431,,Minnesota Vikings,,,,0,
401872988,2026-10-11,New York Giants,Washington Commanders,2026-09-16T00:33:25Z,3,1,0,0.3123,0.529,,0.2345,,New York Giants,,,,0,
401872989,2026-10-11,Denver Broncos,Los Angeles Chargers,2026-09-16T00:33:25Z,3,1,0,0.4779,0.5634,,0.4409,,Denver Broncos,,,,0,
401872990,2026-10-11,Chicago Bears,Green Bay Packers,2026-09-16T00:33:25Z,3,1,0,0.3258,0.4815,,0.2667,,Chicago Bears,,,,0,
401872991,2026-10-11,Detroit Lions,Arizona Cardinals,2026-09-16T00:33:25Z,3,1,0,0.488,0.6021,,0.438,,Detroit Lions,,,,0,
401872992,2026-10-11,San Francisco 49ers,Seattle Seahawks,2026-09-16T00:33:25Z,3,1,0,0.496,0.5349,,0.4791,,San Francisco 49ers,,,,0,
401872993,2026-10-11,Baltimore Ravens,Atlanta Falcons,2026-09-16T00:33:25Z,3,1,0,0.3166,0.4945,,0.2508,,Baltimore Ravens,,,,0,
401872994,2026-10-12,Buffalo Bills,Los Angeles Rams,2026-09-16T00:33:25Z,3,1,0,0.315,0.4882,,0.2508,,Buffalo Bills,,,,0,
401872995,2026-10-15,Seattle Seahawks,Denver Broncos,2026-09-16T00:33:25Z,3,1,0,0.3211,0.5147,,0.2497,,Seattle Seahawks,,,,0,
