game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_win_pct,home_win_pct,away_pt_diff_pg,home_pt_diff_pg,away_ypg_off,home_ypg_off,away_ypg_def,home_ypg_def,away_to_margin,home_to_margin,season_type,season_slug,game_start_utc,game_time
2026-09-13,New York Jets,Tennessee Titans,Final,New York Jets,New York Jets,0.7481,0.2519,401872924,23,10,1-0,0-1,1.0,0.0,13.0,-13.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Baltimore Ravens,Indianapolis Colts,Final,Baltimore Ravens,Baltimore Ravens,0.7368,0.2632,401872659,41,23,1-0,0-1,1.0,0.0,18.0,-18.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Atlanta Falcons,Pittsburgh Steelers,Final,Pittsburgh Steelers,Pittsburgh Steelers,0.312,0.688,401872658,13,20,0-1,1-0,0.0,1.0,-7.0,7.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Chicago Bears,Carolina Panthers,Final,Chicago Bears,Chicago Bears,0.7275,0.2725,401872661,59,37,1-0,0-1,1.0,0.0,22.0,-22.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Cleveland Browns,Jacksonville Jaguars,Final,Jacksonville Jaguars,Jacksonville Jaguars,0.3567,0.6433,401872922,10,34,0-1,1-0,0.0,1.0,-24.0,24.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Buffalo Bills,Houston Texans,Final,Buffalo Bills,Buffalo Bills,0.7655,0.2345,401872660,36,31,1-0,0-1,1.0,0.0,5.0,-5.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,Miami Dolphins,Las Vegas Raiders,Final,Las Vegas Raiders,Las Vegas Raiders,0.33,0.67,401872928,13,27,0-1,1-0,0.0,1.0,-14.0,14.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T20:25Z,4:25 PM ET
2026-09-13,Green Bay Packers,Minnesota Vikings,Final,Minnesota Vikings,Minnesota Vikings,0.3379,0.6621,401872927,22,39,0-1,1-0,0.0,1.0,-17.0,17.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T20:25Z,4:25 PM ET
2026-09-13,Washington Commanders,Philadelphia Eagles,Final,Philadelphia Eagles,Philadelphia Eagles,0.2994,0.7006,401872929,22,24,0-1,1-0,0.0,1.0,-2.0,2.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T20:25Z,4:25 PM ET
2026-09-13,Arizona Cardinals,Los Angeles Chargers,Final,Arizona Cardinals,Arizona Cardinals,0.7503,0.2497,401872926,26,14,1-0,0-1,1.0,0.0,12.0,-12.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T20:25Z,4:25 PM ET
2026-09-13,Dallas Cowboys,New York Giants,Final,New York Giants,New York Giants,0.3145,0.6855,401872930,20,28,0-1,1-0,0.0,1.0,-8.0,8.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-14T00:20Z,8:20 PM ET
2026-09-14,Denver Broncos,Kansas City Chiefs,Final,Kansas City Chiefs,Kansas City Chiefs,0.3486,0.6514,401872931,10,31,0-1,1-0,0.0,1.0,-21.0,21.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-15T00:15Z,8:15 PM ET
2026-09-17,Detroit Lions,Buffalo Bills,Scheduled,,Detroit Lions,0.5518,0.4482,401872932,0,0,1-0,1-0,1.0,1.0,1.0,5.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-18T00:15Z,8:15 PM ET
2026-09-20,Carolina Panthers,Atlanta Falcons,Scheduled,,Carolina Panthers,0.5678,0.4322,401872933,0,0,0-1,0-1,0.0,0.0,-22.0,-7.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Minnesota Vikings,Chicago Bears,Scheduled,,Minnesota Vikings,0.5532,0.4468,401872937,0,0,1-0,1-0,1.0,1.0,17.0,22.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Philadelphia Eagles,Tennessee Titans,Scheduled,,Philadelphia Eagles,0.7601,0.2399,401872939,0,0,1-0,0-1,1.0,0.0,2.0,-13.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Pittsburgh Steelers,New England Patriots,Scheduled,,Pittsburgh Steelers,0.7655,0.2345,401872946,0,0,1-0,0-1,1.0,0.0,7.0,-3.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Green Bay Packers,New York Jets,Scheduled,,New York Jets,0.3326,0.6674,401872936,0,0,0-1,1-0,0.0,1.0,-17.0,13.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Cleveland Browns,Tampa Bay Buccaneers,Scheduled,,Cleveland Browns,0.5722,0.4278,401872935,0,0,0-1,0-1,0.0,0.0,-24.0,-6.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,New Orleans Saints,Baltimore Ravens,Scheduled,,Baltimore Ravens,0.3183,0.6817,401872938,0,0,0-1,1-0,0.0,1.0,-1.0,18.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Cincinnati Bengals,Houston Texans,Scheduled,,Cincinnati Bengals,0.7644,0.2356,401872934,0,0,1-0,0-1,1.0,0.0,6.0,-5.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T17:00Z,1:00 PM ET
2026-09-20,Jacksonville Jaguars,Denver Broncos,Scheduled,,Jacksonville Jaguars,0.7263,0.2737,401872940,0,0,1-0,0-1,1.0,0.0,24.0,-21.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T20:05Z,4:05 PM ET
2026-09-20,Las Vegas Raiders,Los Angeles Chargers,Scheduled,,Las Vegas Raiders,0.7481,0.2519,401872941,0,0,1-0,0-1,1.0,0.0,14.0,-12.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T20:05Z,4:05 PM ET
2026-09-20,Washington Commanders,Dallas Cowboys,Scheduled,,Washington Commanders,0.5371,0.4629,401872944,0,0,0-1,0-1,0.0,0.0,-2.0,-8.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T20:25Z,4:25 PM ET
2026-09-20,Seattle Seahawks,Arizona Cardinals,Scheduled,,Seattle Seahawks,0.5591,0.4409,401872943,0,0,1-0,1-0,1.0,1.0,3.0,12.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T20:25Z,4:25 PM ET
2026-09-20,Miami Dolphins,San Francisco 49ers,Scheduled,,San Francisco 49ers,0.3379,0.6621,401872942,0,0,0-1,1-0,0.0,1.0,-14.0,20.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-20T20:25Z,4:25 PM ET
2026-09-20,Indianapolis Colts,Kansas City Chiefs,Scheduled,,Kansas City Chiefs,0.3446,0.6554,401872945,0,0,0-1,1-0,0.0,1.0,-18.0,21.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-21T00:20Z,8:20 PM ET
2026-09-21,New York Giants,Los Angeles Rams,Scheduled,,New York Giants,0.7458,0.2542,401872947,0,0,1-0,0-1,1.0,0.0,8.0,-20.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-22T00:15Z,8:15 PM ET
2026-09-24,Atlanta Falcons,Green Bay Packers,Scheduled,,Atlanta Falcons,0.5312,0.4688,401872948,0,0,0-1,0-1,0.0,0.0,-7.0,-17.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-25T00:15Z,8:15 PM ET
2026-09-27,Los Angeles Chargers,Buffalo Bills,Scheduled,,Buffalo Bills,0.3158,0.6842,401872953,0,0,0-1,1-0,0.0,1.0,-12.0,5.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Carolina Panthers,Cleveland Browns,Scheduled,,Carolina Panthers,0.543,0.457,401872949,0,0,0-1,0-1,0.0,0.0,-22.0,-24.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,New York Jets,Detroit Lions,Scheduled,,New York Jets,0.5283,0.4717,401872954,0,0,1-0,1-0,1.0,1.0,13.0,1.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Houston Texans,Indianapolis Colts,Scheduled,,Houston Texans,0.5268,0.4732,401872951,0,0,0-1,0-1,0.0,0.0,-5.0,-18.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Kansas City Chiefs,Miami Dolphins,Scheduled,,Kansas City Chiefs,0.7379,0.2621,401872952,0,0,1-0,0-1,1.0,0.0,21.0,-14.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Tennessee Titans,New York Giants,Scheduled,,New York Giants,0.3209,0.6791,401872956,0,0,0-1,1-0,0.0,1.0,-13.0,8.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Cincinnati Bengals,Pittsburgh Steelers,Scheduled,,Cincinnati Bengals,0.5474,0.4526,401872950,0,0,1-0,1-0,1.0,1.0,6.0,7.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Seattle Seahawks,Washington Commanders,Scheduled,,Seattle Seahawks,0.7708,0.2292,401872955,0,0,1-0,0-1,1.0,0.0,3.0,-2.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,New England Patriots,Jacksonville Jaguars,Scheduled,,Jacksonville Jaguars,0.3287,0.6713,401872957,0,0,0-1,1-0,0.0,1.0,-3.0,24.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T17:00Z,1:00 PM ET
2026-09-27,Arizona Cardinals,San Francisco 49ers,Scheduled,,Arizona Cardinals,0.5576,0.4424,401872958,0,0,1-0,1-0,1.0,1.0,12.0,20.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-27T20:05Z,4:05 PM ET
