game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_pts_pct,home_pts_pct,away_gf_pg,home_gf_pg,away_ga_pg,home_ga_pg,away_pp_pct,home_pp_pct,away_pk_pct,home_pk_pct,away_save_pct,home_save_pct,season_type,season_slug,game_start_utc,game_time
2026-09-24,Florida Panthers,Tampa Bay Lightning,Scheduled,,Tampa Bay Lightning,0.4256,0.5744,401881133,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
2026-09-24,Chicago Blackhawks,St. Louis Blues,Scheduled,,St. Louis Blues,0.4256,0.5744,401886260,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T00:00Z,8:00 PM ET
2026-09-24,Edmonton Oilers,Vancouver Canucks,Scheduled,,Vancouver Canucks,0.4256,0.5744,401878103,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T01:00Z,9:00 PM ET
2026-09-24,Calgary Flames,Seattle Kraken,Scheduled,,Seattle Kraken,0.4256,0.5744,401879332,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T01:40Z,9:40 PM ET
2026-09-24,Utah Mammoth,Vegas Golden Knights,Scheduled,,Vegas Golden Knights,0.4256,0.5744,401879367,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T02:00Z,10:00 PM ET
2026-09-24,Anaheim Ducks,San Jose Sharks,Scheduled,,San Jose Sharks,0.4256,0.5744,401879370,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T02:00Z,10:00 PM ET
2026-09-25,Boston Bruins,Washington Capitals,Scheduled,,Washington Capitals,0.4256,0.5744,401879360,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T23:00Z,7:00 PM ET
2026-09-25,New York Rangers,New York Islanders,Scheduled,,New York Islanders,0.4256,0.5744,401879649,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-25T23:30Z,7:30 PM ET
2026-09-25,Dallas Stars,Minnesota Wild,Scheduled,,Minnesota Wild,0.4256,0.5744,401886430,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T00:00Z,8:00 PM ET
2026-09-25,Winnipeg Jets,Colorado Avalanche,Scheduled,,Colorado Avalanche,0.4256,0.5744,401878108,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T00:30Z,8:30 PM ET
2026-09-26,Pittsburgh Penguins,Buffalo Sabres,Scheduled,,Buffalo Sabres,0.4256,0.5744,401879457,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T19:00Z,3:00 PM ET
2026-09-26,Carolina Hurricanes,Nashville Predators,Scheduled,,Nashville Predators,0.4256,0.5744,401879935,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T19:00Z,3:00 PM ET
2026-09-26,Anaheim Ducks,Los Angeles Kings,Scheduled,,Los Angeles Kings,0.4256,0.5744,401879371,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T20:00Z,4:00 PM ET
2026-09-26,Washington Capitals,Philadelphia Flyers,Scheduled,,Philadelphia Flyers,0.4256,0.5744,401879361,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T21:00Z,5:00 PM ET
2026-09-26,Colorado Avalanche,Utah Mammoth,Scheduled,,Utah Mammoth,0.4256,0.5744,401879365,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T21:00Z,5:00 PM ET
2026-09-26,Tampa Bay Lightning,Florida Panthers,Scheduled,,Florida Panthers,0.4256,0.5744,401881134,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T22:00Z,6:00 PM ET
2026-09-26,Columbus Blue Jackets,Detroit Red Wings,Scheduled,,Detroit Red Wings,0.4256,0.5744,401879453,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:00Z,7:00 PM ET
2026-09-26,Montreal Canadiens,Ottawa Senators,Scheduled,,Ottawa Senators,0.4256,0.5744,401879651,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:00Z,7:00 PM ET
2026-09-26,Seattle Kraken,Vancouver Canucks,Scheduled,,Vancouver Canucks,0.4256,0.5744,401879653,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:00Z,7:00 PM ET
2026-09-26,Ottawa Senators,Montreal Canadiens,Scheduled,,Montreal Canadiens,0.4256,0.5744,401881724,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:00Z,7:00 PM ET
2026-09-26,St. Louis Blues,Chicago Blackhawks,Scheduled,,Chicago Blackhawks,0.4256,0.5744,401886261,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:00Z,7:00 PM ET
2026-09-26,New Jersey Devils,New York Islanders,Scheduled,,New York Islanders,0.4256,0.5744,401879647,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-26T23:30Z,7:30 PM ET
2026-09-26,Calgary Flames,Edmonton Oilers,Scheduled,,Edmonton Oilers,0.4256,0.5744,401878104,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-27T01:00Z,9:00 PM ET
2026-09-26,San Jose Sharks,Vegas Golden Knights,Scheduled,,Vegas Golden Knights,0.4256,0.5744,401879414,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-27T02:00Z,10:00 PM ET
2026-09-29,Florida Panthers,Carolina Hurricanes,Scheduled,,Carolina Hurricanes,0.4256,0.5744,401891773,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-29T21:00Z,5:00 PM ET
2026-09-29,Montreal Canadiens,Toronto Maple Leafs,Scheduled,,Toronto Maple Leafs,0.4256,0.5744,401891827,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-29T23:00Z,7:00 PM ET
2026-09-29,New York Rangers,Boston Bruins,Scheduled,,Boston Bruins,0.4256,0.5744,401891774,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-30T00:00Z,8:00 PM ET
2026-09-29,Vancouver Canucks,Edmonton Oilers,Scheduled,,Edmonton Oilers,0.4256,0.5744,401891804,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-30T02:00Z,10:00 PM ET
2026-09-29,Chicago Blackhawks,Vegas Golden Knights,Scheduled,,Vegas Golden Knights,0.4256,0.5744,401891775,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-30T02:30Z,10:30 PM ET
2026-09-30,Pittsburgh Penguins,Philadelphia Flyers,Scheduled,,Philadelphia Flyers,0.4256,0.5744,401891821,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-30T23:30Z,7:30 PM ET
2026-09-30,New York Islanders,Toronto Maple Leafs,Scheduled,,Toronto Maple Leafs,0.4256,0.5744,401892431,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-09-30T23:30Z,7:30 PM ET
2026-09-30,Los Angeles Kings,Colorado Avalanche,Scheduled,,Colorado Avalanche,0.4256,0.5744,401891780,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,2.0,regular-season,2026-10-01T02:00Z,10:00 PM ET
